3.742709474265828e-8	1.1876833972825798e-21
4.619249001364192e-8	1.8511899686738844e-21
3.283474857983289e-6	2.250819950065236e-20
6.00228932432538e-8	2.147193164392699e-21
3.034957460731601e-8	2.330293102806606e-21
1.0950966819695636e-7	5.71964150014223e-21
1.454046857779101e-7	3.4521531123294986e-21
8.304246189463849e-8	3.8923541751261554e-21
2.1835823624593476e-7	1.1939027204960675e-20
5.693724761016125e-8	7.701908573682717e-21
3.5891434375142336e-8	2.544044521995489e-21
2.17468295079992e-8	1.0304763148975113e-21
1.6458077770591495e-7	7.632268478341536e-21
1.2919655008485558e-6	5.08875403958927e-20
8.104315721137006e-6	1.936095862190897e-19
4.547681331551242e-8	1.6728226529822175e-20
2.0783550177555197e-7	2.1624228165170605e-20
