# Code: cgiSensePlot.c v4.0 (sll - 13 February 2009 Build)
# from WWW Sensitivity Curve Generator located at:
#   http://www.srl.caltech.edu/~shane/sensitivity/MakeCurve.html
# EQUAL ARM Space Based Observatory Sensitivity Curve
# Polarization and All Sky Averaged
# 
# For this data file:
# SNR = 1.000000 
# Armlength = 5.000000e+09 	meters
# Optics diameter = 0.300000 	meters
# Wavelength = 1064.000000 	nanometers
# Laser power = 1.000000 Watts
# Optical train efficiency = 0.300000 
# Accleration noise = 3.000000e-15 m/(s^2 root Hz)
# Position noise = 2.000000e-11 m/(root Hz)
# Sensitivity Floor Set by Position Noise Budget
# Output Curve type is Dimensionless strain (1 yr integration)
# Astrophysical Noise is No White Dwarf Noise
#
#
#
# f [Hz] 	 h [dimensionless strain]
5.404526e-01    9.209230e-23
5.437372e-01    8.626970e-23
5.470416e-01    7.759486e-23
5.503662e-01    7.115164e-23
5.537110e-01    6.848705e-23
5.570761e-01    6.985477e-23
5.604617e-01    7.540157e-23
5.638678e-01    8.475218e-23
5.672946e-01    9.456679e-23
5.702096e-01    9.742460e-23
5.731395e-01    9.276161e-23
5.760846e-01    8.459908e-23
5.790447e-01    7.748638e-23
5.820200e-01    7.329983e-23
5.850106e-01    7.244252e-23
5.880167e-01    7.501767e-23
5.910381e-01    8.110448e-23
5.940750e-01    9.016612e-23
5.971276e-01    9.928185e-23
6.001959e-01    1.024361e-22
6.032799e-01    9.695445e-23
6.063798e-01    8.783794e-23
6.094955e-01    8.033607e-23
6.126274e-01    7.637290e-23
6.157752e-01    7.630048e-23
6.189394e-01    8.024023e-23
6.221197e-01    8.819805e-23
6.253164e-01    9.883809e-23
6.285294e-01    1.069509e-22
6.317590e-01    1.056745e-22
6.350053e-01    9.663464e-23
6.382681e-01    8.718710e-23
6.415477e-01    8.128717e-23
6.448442e-01    7.982208e-23
6.481578e-01    8.294976e-23
6.514882e-01    9.074944e-23
6.548357e-01    1.021088e-22
6.582006e-01    1.116000e-22
6.615826e-01    1.108302e-22
6.645274e-01    1.024719e-22
6.674851e-01    9.309423e-23
6.704562e-01    8.638413e-23
6.734404e-01    8.339679e-23
6.764379e-01    8.430619e-23
6.794488e-01    8.922145e-23
6.824731e-01    9.804620e-23
6.855108e-01    1.091627e-22
6.885620e-01    1.172436e-22
6.916268e-01    1.158793e-22
6.947053e-01    1.066410e-22
6.977975e-01    9.654850e-23
7.009034e-01    8.970782e-23
7.040231e-01    8.717361e-23
7.071568e-01    8.911073e-23
7.103043e-01    9.563259e-23
7.134659e-01    1.063174e-22
7.166416e-01    1.180140e-22
7.198315e-01    1.230247e-22
7.230354e-01    1.167676e-22
7.262537e-01    1.053766e-22
7.294863e-01    9.599530e-23
7.327333e-01    9.119767e-23
7.359947e-01    9.140893e-23
7.392707e-01    9.676534e-23
7.425612e-01    1.071530e-22
7.458663e-01    1.202123e-22
7.491862e-01    1.281085e-22
7.525209e-01    1.233970e-22
7.558704e-01    1.112904e-22
7.588381e-01    1.017271e-22
7.618173e-01    9.600758e-23
7.648083e-01    9.465856e-23
7.678110e-01    9.778485e-23
7.708255e-01    1.054636e-22
7.738519e-01    1.170204e-22
7.768901e-01    1.288186e-22
7.799402e-01    1.332119e-22
7.830024e-01    1.264269e-22
7.860764e-01    1.145966e-22
7.891626e-01    1.045987e-22
7.922611e-01    9.905100e-23
7.953715e-01    9.842606e-23
7.984943e-01    1.028396e-22
8.016292e-01    1.123131e-22
8.047765e-01    1.254917e-22
8.079361e-01    1.366424e-22
8.111082e-01    1.369184e-22
8.142927e-01    1.263666e-22
8.174896e-01    1.138797e-22
8.206991e-01    1.052569e-22
8.239213e-01    1.020057e-22
8.271561e-01    1.043328e-22
8.304037e-01    1.123570e-22
8.336638e-01    1.254215e-22
8.369369e-01    1.390468e-22
8.402228e-01    1.432017e-22
8.435216e-01    1.339092e-22
8.468334e-01    1.201758e-22
8.501581e-01    1.099631e-22
8.531439e-01    1.057872e-22
8.561401e-01    1.065504e-22
8.591469e-01    1.123608e-22
8.621642e-01    1.231101e-22
8.651922e-01    1.369367e-22
8.682308e-01    1.474875e-22
8.712800e-01    1.465406e-22
8.743399e-01    1.352694e-22
8.774107e-01    1.223609e-22
8.804921e-01    1.132787e-22
8.835844e-01    1.094956e-22
8.866876e-01    1.112152e-22
8.898017e-01    1.185531e-22
8.929267e-01    1.311416e-22
8.960626e-01    1.457873e-22
8.992096e-01    1.537564e-22
9.023677e-01    1.479436e-22
9.055368e-01    1.341249e-22
9.087171e-01    1.216248e-22
9.119085e-01    1.143947e-22
9.151112e-01    1.131693e-22
9.183251e-01    1.180792e-22
9.215502e-01    1.291414e-22
9.247867e-01    1.446541e-22
9.280346e-01    1.573411e-22
9.312939e-01    1.564697e-22
9.345645e-01    1.432793e-22
9.378467e-01    1.288620e-22
9.411405e-01    1.195708e-22
9.444458e-01    1.168346e-22
9.474463e-01    1.201601e-22
9.504563e-01    1.290857e-22
9.534759e-01    1.429122e-22
9.565049e-01    1.576019e-22
9.595442e-01    1.640488e-22
9.625922e-01    1.567006e-22
9.656506e-01    1.422682e-22
9.687186e-01    1.295112e-22
9.717961e-01    1.220252e-22
9.748832e-01    1.204904e-22
9.779807e-01    1.250217e-22
9.810878e-01    1.356707e-22
9.842045e-01    1.511845e-22
9.873316e-01    1.656316e-22
9.904683e-01    1.683339e-22
9.936155e-01    1.569769e-22
9.967722e-01    1.415059e-22
9.999384e-01    1.298956e-22
1.003115e+00    1.245440e-22
1.006302e+00    1.257787e-22
1.009499e+00    1.337252e-22
1.012707e+00    1.480191e-22
1.015923e+00    1.650205e-22
1.019152e+00    1.742690e-22
1.022390e+00    1.671693e-22
1.025637e+00    1.509646e-22
1.028896e+00    1.367628e-22
1.032165e+00    1.289729e-22
1.035444e+00    1.283285e-22
1.038733e+00    1.349684e-22
