# Code: cgiSensePlot.c v4.0 (sll - 13 February 2009 Build)
# from WWW Sensitivity Curve Generator located at:
#   http://www.srl.caltech.edu/~shane/sensitivity/MakeCurve.html
# EQUAL ARM Space Based Observatory Sensitivity Curve
# Polarization and All Sky Averaged
# 
# For this data file:
# SNR = 1.000000 
# Armlength = 5.000000e+09 	meters
# Optics diameter = 0.300000 	meters
# Wavelength = 1064.000000 	nanometers
# Laser power = 1.000000 Watts
# Optical train efficiency = 0.300000 
# Accleration noise = 3.000000e-15 m/(s^2 root Hz)
# Position noise = 2.000000e-11 m/(root Hz)
# Sensitivity Floor Set by Position Noise Budget
# Output Curve type is Dimensionless strain (1 yr integration)
# Astrophysical Noise is No White Dwarf Noise
#
#
#
# f [Hz] 	 h [dimensionless strain]
5.497867e-06    4.622107e-19
5.625968e-06    4.414018e-19
5.757053e-06    4.215296e-19
5.891192e-06    4.025521e-19
6.028457e-06    3.844290e-19
6.168920e-06    3.671218e-19
6.312656e-06    3.505938e-19
6.459741e-06    3.348099e-19
6.610253e-06    3.197366e-19
6.764272e-06    3.053419e-19
6.921879e-06    2.915953e-19
7.083159e-06    2.784675e-19
7.248196e-06    2.659308e-19
7.417080e-06    2.539584e-19
7.589898e-06    2.425250e-19
7.766742e-06    2.316065e-19
7.947707e-06    2.211794e-19
8.132889e-06    2.112218e-19
8.322385e-06    2.017125e-19
8.516297e-06    1.926313e-19
8.714726e-06    1.839590e-19
8.917780e-06    1.756770e-19
9.125564e-06    1.677680e-19
9.338190e-06    1.602150e-19
9.555773e-06    1.530295e-19
9.778423e-06    1.460385e-19
1.000626e-05    1.395999e-19
1.023940e-05    1.332838e-19
1.047798e-05    1.272888e-19
1.072212e-05    1.215229e-19
1.097194e-05    1.160578e-19
1.122759e-05    1.108755e-19
1.148919e-05    1.058179e-19
1.175689e-05    1.010617e-19
1.203082e-05    9.655862e-20
1.231114e-05    9.218471e-20
1.259799e-05    8.803160e-20
1.289153e-05    8.407011e-20
1.319190e-05    8.026937e-20
1.349927e-05    7.667374e-20
1.381380e-05    7.320873e-20
1.413566e-05    6.991485e-20
1.446503e-05    6.676150e-20
1.480206e-05    6.376726e-20
1.514695e-05    6.088610e-20
1.549987e-05    5.815425e-20
1.586102e-05    5.553562e-20
1.623058e-05    5.302586e-20
1.660876e-05    5.064672e-20
1.699574e-05    4.836399e-20
1.739173e-05    4.618824e-20
1.779696e-05    4.410809e-20
1.821163e-05    4.212151e-20
1.863597e-05    4.022794e-20
1.907018e-05    3.841752e-20
1.951452e-05    3.668750e-20
1.996921e-05    3.503515e-20
2.043449e-05    3.345770e-20
