pl_hostname,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,st_dist,st_mass,rowupdate,st_plx
K2-78,Transit,2.29016,0.0328,,,,0.9,2016-07-18,
K2-79,Transit,10.99573,0.0987,,,,1.06,2016-07-18,
K2-80,Transit,5.605,0.0596,,,,0.9,2016-07-18,
K2-80,Transit,19.0918,0.135,,,,0.9,2016-07-18,
KELT-17,Transit,3.0801716,0.04881,,1.31,210.,1.64,2016-09-08,
70 Vir,Radial Velocity,116.6926,0.481,0.399,7.4,18.11,1.09,2015-04-24,55.22
HD 1502,Radial Velocity,431.8,1.31,0.101,3.1,167.5,1.61,2014-05-14,5.97
HD 102272,Radial Velocity,127.58,0.614,0.05,5.9,164.2,1.9,2014-05-14,2.76
HAT-P-24,Transit,3.35524,0.0465,0.067,0.685,396.,1.19,2014-05-14,
K2-81,Transit,6.10224,0.0579,,,,0.7,2016-07-18,
BD+15 2375,Radial Velocity,153.22,0.576,0.001,1.061,774.,1.08,2016-02-04,
BD+14 4559,Radial Velocity,268.94,0.777,0.29,1.47,50.03,0.86,2014-05-14,19.99
HN Peg,Imaging,,773.,,21.9987,18.39,,2014-05-14,54.37
K2-82,Transit,7.195834,0.0392,,,,0.15,2016-07-18,
K2-25,Transit,3.484552,,0.27,,45.7,0.29,2016-01-05,
HD 285507,Radial Velocity,6.0881,,0.086,0.917,42.43,0.73,2014-05-14,23.57
GJ 3470,Radial Velocity,3.3366487,0.031,0.017,0.043,25.2,0.51,2014-07-23,
HD 142245,Radial Velocity,1299.,2.77,0.09,1.9,106.38,1.69,2014-05-14,9.4
BD+15 2940,Radial Velocity,137.48,0.539,0.26,1.11,175.44,1.1,2014-05-14,1.71
K2-83,Transit,2.74697,0.03014,,,,0.48,2016-07-18,
K2-83,Transit,9.99767,0.07131,,,,0.48,2016-07-18,
HD 210702,Radial Velocity,354.8,1.2,0.094,1.9,55.93,1.68,2015-09-03,17.88
2MASS J21402931+1625183 A,Imaging,7336.5,,0.26,20.95,25.,0.08,2014-05-14,
WISEP J121756.91+162640.2 A,Imaging,,8.,,22.,10.1,0.03,2014-05-14,99.
HD 231701,Radial Velocity,141.6,0.53,0.1,1.08,108.46,1.14,2014-11-19,9.22
alf Tau,Radial Velocity,628.96,1.46,0.1,6.47,20.43,1.13,2015-06-04,48.94
K2-84,Transit,6.4215,0.0665,,,,0.95,2016-07-18,
K2-84,Transit,27.86,0.1768,,,,0.95,2016-07-18,
HAT-P-23,Transit,1.21288287,0.02302,0.,2.07,393.,1.1,2015-03-26,
GU Psc,Imaging,,2000.,,11.3,48.,0.33,2014-05-14,
HD 59686 A,Radial Velocity,299.36,1.086,0.05,6.92,96.8,1.9,2016-08-12,10.33
tau Boo,Radial Velocity,3.3124568,0.049,0.011,4.32,15.6,1.34,2015-04-16,64.12
HD 24040,Radial Velocity,3668.,4.92,0.04,4.01,46.51,1.18,2014-05-14,21.5
HD 114762,Radial Velocity,83.9151,0.353,0.3354,10.98,40.57,0.83,2014-12-17,24.65
11 Com,Radial Velocity,326.03,1.29,0.231,19.4,110.62,2.7,2014-05-14,9.04
HAT-P-39,Transit,3.54387,0.0509,0.,0.599,642.,1.4,2014-05-14,
HD 87646,Radial Velocity,13.481,0.117,0.05,12.4,73.58,1.12,2016-08-18,13.59
DP Leo,Eclipse Timing Variations,10220.,8.19,0.39,6.05,,0.69,2014-05-14,
HAT-P-34,Transit,5.452654,0.0677,0.441,3.328,257.,1.39,2014-05-14,
HD 88133,Radial Velocity,3.41587,0.0472,0.133,0.299,74.46,1.2,2015-04-16,13.43
HD 131496,Radial Velocity,883.,2.09,0.163,2.2,121.36,1.61,2014-05-14,8.24
WASP-21,Transit,4.322482,0.052,0.,0.3,242.,0.89,2014-05-14,
K2-85,Transit,0.684533,0.01263,,,,0.57,2016-07-18,
K2-86,Transit,8.77683,0.077,,,,0.79,2016-07-18,
HD 219828,Radial Velocity,4791.,5.96,0.8115,15.1,77.9,1.23,2016-06-03,12.83
HD 219828,Radial Velocity,3.834887,0.045,0.059,0.06607,77.9,1.23,2016-06-03,12.83
HD 195019,Radial Velocity,18.20132,0.1388,0.0138,3.69,37.35,1.07,2014-07-23,26.77
K2-87,Transit,9.72739,0.0876,,,,0.95,2016-07-18,
HD 209458,Radial Velocity,3.52474859,,,,47.08,1.1,2014-08-21,21.24
HD 285968,Radial Velocity,8.7836,0.066,0.,0.026,9.42,0.45,2014-11-19,106.16
K2-95,Transit,10.13389,0.0653,,0.03458,172.,0.36,2016-09-08,
K2-88,Transit,4.6122,0.0345,,,,0.26,2016-07-18,
eps Tau,Radial Velocity,594.9,1.93,0.151,7.6,47.53,2.7,2014-05-14,21.04
Pr0211,Radial Velocity,2.1461,0.03176,0.011,1.88,,0.94,2016-02-11,
Pr0211,Radial Velocity,4850.,5.5,0.71,7.79,,0.94,2016-02-11,
TYC 1422-614-1,Radial Velocity,559.3,1.37,0.048,10.,759.,1.15,2014-10-29,
TYC 1422-614-1,Radial Velocity,198.4,0.69,0.06,2.5,759.,1.15,2014-10-29,
gam 1 Leo,Radial Velocity,428.5,1.19,0.144,8.78,38.52,1.23,2014-05-14,25.96
BD+20 2457,Radial Velocity,621.99,2.01,0.18,12.47,,2.8,2014-05-14,5.
BD+20 2457,Radial Velocity,379.63,1.45,0.15,21.42,,2.8,2014-05-14,5.
HD 10697,Radial Velocity,1075.2,2.131,0.099,6.21,32.6,1.11,2014-05-14,
Pr0201,Radial Velocity,4.4264,,0.,0.54,,1.23,2015-09-10,
HD 5891,Radial Velocity,177.11,0.76,0.066,7.6,150.6,1.91,2014-05-14,6.64
HD 81040,Radial Velocity,1001.7,1.94,0.526,6.86,32.56,0.96,2015-04-16,30.71
BD+20 1790,Radial Velocity,7.78287,0.066,0.22,6.37,25.4,0.63,2015-03-26,
HD 100655,Radial Velocity,157.57,0.76,0.085,1.7,140.85,2.4,2014-05-14,7.1
HD 4203,Radial Velocity,437.05,1.1735,0.52,1.82,77.82,1.13,2014-05-14,12.85
HD 4203,Radial Velocity,6700.,6.95,0.24,2.17,77.82,1.13,2014-05-14,12.85
K2-89,Transit,1.096026,0.01462,,,,0.35,2016-07-18,
BD+20 594,Transit,41.6855,0.241,0.,0.05129,152.1,0.96,2016-07-28,
HD 37124,Radial Velocity,154.378,0.53364,0.054,0.675,33.24,0.85,2016-08-18,30.08
HD 37124,Radial Velocity,1862.,2.807,0.16,0.696,33.24,0.85,2016-08-18,30.08
HD 37124,Radial Velocity,885.5,1.71,0.125,0.652,33.24,0.85,2016-08-18,30.08
51 Peg,Radial Velocity,4.230785,0.0527,0.013,0.472,15.36,1.12,2014-05-14,65.1
BD+20 274,Radial Velocity,578.2,1.3,0.21,4.2,,0.8,2015-09-18,
HIP 14810,Radial Velocity,6.673855,0.0692,0.1427,3.88,52.88,0.99,2015-05-14,18.91
HIP 14810,Radial Velocity,952.,1.89,0.173,0.57,52.88,0.99,2015-05-14,18.91
HIP 14810,Radial Velocity,147.73,0.545,0.164,1.28,52.88,0.99,2015-05-14,18.91
HR 8799,Imaging,37000.,24.,,10.,39.4,1.51,2014-05-14,
HR 8799,Imaging,18000.,14.5,,,39.4,1.51,2014-05-14,
HR 8799,Imaging,170000.,68.,,7.,39.4,1.51,2014-05-14,
HR 8799,Imaging,69000.,38.,,10.,39.4,1.51,2014-05-14,
HD 208527,Radial Velocity,875.5,2.1,0.08,9.9,352.11,1.6,2014-05-14,2.84
HD 3651,Radial Velocity,62.218,0.295,0.596,0.229,11.1,0.88,2014-05-14,
WASP-14,Transit,2.243752,0.036,0.091,7.341,160.,1.21,2014-05-14,
HD 108863,Radial Velocity,443.4,1.4,0.06,2.6,138.5,1.85,2014-05-14,7.22
K2-34,Transit,2.995607,0.04419,0.,1.76,377.,1.28,2016-06-03,
K2-30,Transit,4.098503,0.04839,0.,0.579,278.,0.9,2016-04-14,
LkCa 15,Imaging,,14.7,,,,,2015-12-03,
LkCa 15,Imaging,,18.6,,,,,2015-12-03,
K2-90,Transit,2.90032,0.0328,,,,0.56,2016-07-18,
K2-90,Transit,13.7311,0.0926,,,,0.56,2016-07-18,
HD 189733,Radial Velocity,2.2185752,,,,19.25,0.85,2015-04-24,51.94
HD 108874,Radial Velocity,395.8,1.038,0.082,1.29,68.5,0.95,2014-05-14,
HD 108874,Radial Velocity,1624.,2.659,0.239,0.99,68.5,0.95,2014-05-14,
2MASS J04414489+2301513,Imaging,,15.,,7.5,140.,0.02,2014-05-14,
WASP-56,Transit,4.617101,0.05458,0.,0.571,255.,1.02,2014-05-14,
HD 79498,Radial Velocity,1966.1,3.13,0.59,1.34,48.64,,2014-05-14,20.56
alf Ari,Radial Velocity,380.8,1.2,0.25,1.8,20.21,1.5,2014-05-14,49.48
HD 14067,Radial Velocity,1455.,3.4,0.533,7.8,163.4,2.4,2014-09-25,6.12
KELT-8,Transit,3.24406,0.04571,0.035,0.867,236.,1.21,2015-09-03,
K2-91,Transit,1.419549,0.0164,,,,0.29,2016-07-18,
HD 50554,Radial Velocity,1293.,2.353,0.501,4.954,31.03,1.04,2014-11-19,32.23
HAT-P-20,Transit,2.875317,0.0361,0.015,7.246,70.,0.76,2014-05-14,
K2-29,Transit,3.2588321,0.04217,0.066,0.73,185.,0.94,2016-03-24,
V830 Tau,Radial Velocity,4.93,0.057,0.,0.77,131.,1.,2016-06-23,
K2-26,Transit,14.5665,0.0962,,,93.,0.56,2016-01-21,
30 Ari B,Radial Velocity,335.1,0.995,0.289,9.88,39.43,1.16,2014-05-14,25.36
HD 116029,Radial Velocity,670.,1.78,0.054,2.1,110.62,1.58,2014-05-14,9.04
WASP-59,Transit,7.919585,0.0697,0.1,0.863,125.,0.72,2014-05-14,
FU Tau,Imaging,,800.,,16.,140.,0.05,2016-03-10,
HAT-P-25,Transit,3.652836,0.0466,0.032,0.567,297.,1.01,2014-05-14,
HD 12661,Radial Velocity,262.709,0.8079,0.3768,2.176,37.16,1.02,2014-11-19,26.91
HD 12661,Radial Velocity,1708.,2.8145,0.031,1.812,37.16,1.02,2014-11-19,26.91
K2-92,Transit,0.701818,0.01566,,,,1.04,2016-07-18,
HAT-P-54,Transit,3.799847,0.04117,0.074,0.76,135.8,0.65,2015-04-24,
KELT-4 A,Transit,2.9895932,0.04317,0.,0.902,210.,1.2,2016-02-25,
HD 97658,Radial Velocity,9.4903,0.08,0.078,0.024,21.3,0.77,2014-05-14,46.95
HAT-P-55,Transit,3.5852467,0.04604,0.139,0.582,480.,1.01,2015-06-17,
GJ 649,Radial Velocity,598.3,1.135,0.3,0.328,10.32,0.54,2014-05-14,96.9
HD 177830,Radial Velocity,406.6,1.2218,0.009,1.49,59.03,1.47,2014-05-14,16.94
HD 177830,Radial Velocity,110.9,0.5137,0.3,0.15,59.03,1.47,2014-05-14,16.94
mu Leo,Radial Velocity,357.8,1.1,0.09,2.4,40.78,1.5,2014-05-14,24.52
HD 203030,Imaging,,487.1,,24.09,40.85,,2014-05-14,24.48
HD 164922,Radial Velocity,1155.,2.11,0.05,0.36,21.92,0.94,2014-05-14,45.61
HD 32963,Radial Velocity,2372.,3.41,0.07,0.7,35.24,0.94,2016-01-05,28.38
V0391 Peg,Pulsation Timing Variations,1170.,1.7,0.,3.2,1400.,0.5,2015-05-14,
HAT-P-31,Transit,5.005425,0.055,0.245,2.171,354.,1.22,2014-05-14,
DH Tau,Imaging,,330.,,11.,140.,0.33,2014-05-14,
HAT-P-49,Transit,2.691548,0.0438,0.,1.73,322.,1.54,2014-05-14,
GJ 436,Radial Velocity,2.64388312,0.0291,0.13827,0.07,10.23,0.47,2015-02-05,97.73
HD 145457,Radial Velocity,176.3,0.76,0.112,2.9,126.1,1.9,2014-05-14,7.93
eps CrB,Radial Velocity,417.9,1.3,0.11,6.7,70.42,1.7,2015-09-10,14.2
HAT-P-56,Transit,2.7908327,0.0423,0.246,2.18,310.5,1.3,2015-07-23,
HD 158038,Radial Velocity,521.,1.52,0.291,1.8,114.15,1.65,2014-05-14,8.76
HD 62509,Radial Velocity,589.64,1.64,0.02,2.3,10.34,2.1,2015-03-26,96.74
HD 188015,Radial Velocity,461.2,1.203,0.137,1.5,52.63,1.09,2014-07-23,19.
XO-1,Transit,3.94150685,0.049,0.,0.92,172.,1.03,2014-05-14,5.82
55 Cnc,Radial Velocity,262.,0.788,0.305,0.141,12.53,0.91,2014-10-29,79.8
55 Cnc,Radial Velocity,44.4175,0.241376,0.02,0.1714,12.53,0.91,2014-10-29,79.8
55 Cnc,Radial Velocity,14.65152,0.115227,0.0034,0.8306,12.53,0.91,2014-10-29,79.8
55 Cnc,Radial Velocity,4825.,5.503,0.019,3.878,12.53,0.91,2014-10-29,79.8
55 Cnc,Radial Velocity,0.736539,0.01544,,0.02542,12.53,0.91,2016-07-07,79.8
HD 185269,Radial Velocity,6.838,0.077,0.3,0.94,47.37,1.28,2014-07-23,21.11
HD 8574,Radial Velocity,227.,0.757,0.297,1.8,44.2,1.12,2014-05-14,
HAT-P-52,Transit,2.7535953,0.03694,0.047,0.818,385.,0.89,2015-11-19,
HIP 109600,Radial Velocity,232.08,0.706,0.163,2.68,58.6,0.87,2016-02-25,17.12
HD 156668,Radial Velocity,4.6455,0.05,0.,0.013,24.05,,2014-05-14,41.58
HD 9446,Radial Velocity,192.9,0.654,0.06,1.82,52.85,1.,2016-03-10,18.92
HD 9446,Radial Velocity,30.052,0.189,0.2,0.7,52.85,1.,2016-03-10,18.92
HD 164595,Radial Velocity,40.,0.23,0.088,0.05078,28.93,0.99,2015-09-10,34.57
omi CrB,Radial Velocity,187.83,0.83,0.191,1.5,84.03,2.13,2015-09-03,11.9
WASP-12,Transit,1.091423,0.0229,0.049,1.41,,1.35,2014-05-14,
WASP-135,Transit,1.4013794,0.0243,0.,1.9,300.,0.98,2015-12-03,
HD 190360,Radial Velocity,2915.,4.01,0.313,1.56,15.89,0.96,2014-08-21,62.92
HD 190360,Radial Velocity,17.111,0.1304,0.237,0.06,15.89,0.96,2014-08-21,62.92
tau Gem,Radial Velocity,305.5,1.17,0.031,20.6,92.51,2.3,2014-05-14,10.81
HAT-P-17,Transit,10.338523,0.0882,0.342,0.534,90.,0.86,2014-05-14,
HAT-P-17,Radial Velocity,5584.,5.6,0.39,3.4,90.,0.86,2014-05-14,
KELT-6,Radial Velocity,1276.,2.39,0.21,3.71,222.,1.13,2015-09-03,
KELT-6,Transit,7.8455821,0.08,0.029,0.442,222.,1.13,2015-09-03,
WASP-11,Transit,3.7224747,0.0435,0.,0.487,121.7,0.83,2014-05-14,
KELT-2 A,Transit,4.1137912,0.05496,0.,1.522,124.22,1.31,2014-05-14,8.05
HIP 57274,Radial Velocity,8.1352,0.07,0.187,0.0365,25.87,,2015-04-24,38.65
HIP 57274,Radial Velocity,431.7,1.01,0.27,0.5267,25.87,,2015-03-26,38.65
HIP 57274,Radial Velocity,32.03,0.178,0.05,0.40902,25.87,,2015-04-24,38.65
HD 1605,Radial Velocity,2111.,3.52,0.098,3.48,84.6,1.31,2015-04-01,11.82
HD 1605,Radial Velocity,577.9,1.48,0.078,0.96,84.6,1.31,2015-04-01,11.82
WASP-60,Transit,4.3050011,0.0531,0.,0.514,400.,1.08,2014-05-14,
WASP-10,Transit,3.0927616,0.03781,,3.15,90.,0.75,2014-05-14,
HD 67087,Radial Velocity,352.2,1.08,0.17,3.06,88.81,1.36,2015-04-01,11.26
HD 67087,Radial Velocity,2374.,3.86,0.76,4.85,88.81,1.36,2015-04-01,11.26
HD 214823,Radial Velocity,1877.,3.18,0.154,19.2,97.47,1.22,2016-05-19,10.26
HD 22781,Radial Velocity,528.07,1.167,0.8191,13.65,31.79,0.75,2014-05-14,31.46
HD 180314,Radial Velocity,396.03,1.4,0.257,22.,131.75,2.6,2015-09-10,7.59
WASP-1,Transit,2.5199454,0.03889,0.,0.854,408.,1.24,2014-05-14,2.45
HAT-P-38,Transit,4.640382,0.0523,0.067,0.267,249.,0.89,2014-05-14,
HD 13189,Radial Velocity,471.6,1.85,0.27,14.,300.3,,2014-05-14,0.54
HAT-P-51,Transit,4.2180278,0.05069,0.123,0.309,470.,0.98,2015-11-19,
HAT-P-18,Transit,5.508023,0.0559,0.084,0.197,166.,0.77,2014-05-14,
HD 75898,Radial Velocity,418.2,1.19,0.1,2.51,80.58,1.28,2015-04-16,12.41
KELT-7,Transit,2.7347749,0.04415,0.,1.28,129.,1.53,2015-06-04,
HD 155358,Radial Velocity,194.3,0.64,0.17,0.85,43.4,,2014-05-14,23.04
HD 155358,Radial Velocity,391.9,1.02,0.16,0.82,43.4,,2014-05-14,23.04
HAT-P-33,Transit,3.474474,0.0499,0.,0.762,387.,1.38,2014-05-14,
WASP-13,Transit,4.353011,0.05362,0.,0.477,155.,1.09,2014-05-14,
HD 5608,Radial Velocity,792.6,1.9,0.19,1.4,58.17,1.55,2015-09-03,17.19
HD 87883,Radial Velocity,2754.,3.6,0.53,1.78,18.06,,2015-04-24,55.37
HD 187123,Radial Velocity,3810.,4.89,0.252,1.99,47.92,1.,2014-07-23,20.87
HD 187123,Radial Velocity,3.0965828,0.0426,0.0103,0.523,47.92,1.,2014-07-23,20.87
HD 8673,Radial Velocity,1634.,3.02,0.723,14.2,38.26,,2014-05-14,26.14
HD 178911 B,Radial Velocity,71.484,0.339,0.114,7.03,47.,1.01,2014-05-14,
HAT-P-19,Transit,4.008778,0.0466,0.067,0.292,215.,0.84,2014-05-14,
HAT-P-28,Transit,3.257215,0.0434,0.051,0.626,395.,1.02,2014-05-14,
HD 82886,Radial Velocity,705.,1.65,0.066,1.3,112.23,1.06,2014-05-14,8.91
HD 5583,Radial Velocity,139.35,0.53,0.076,5.78,221.,1.01,2016-02-04,
HAT-P-8,Transit,3.0763776,0.0487,0.,1.52,230.,1.28,2014-05-14,
kap CrB,Radial Velocity,1261.94,2.8,0.044,2.,30.5,1.47,2015-10-15,32.79
WASP-3,Transit,1.846835,0.03151,0.,1.76,220.,1.24,2014-05-14,
HAT-P-4,Transit,3.056536,0.04438,0.,0.671,314.,1.26,2014-05-14,3.19
WTS-1,Transit,3.352057,0.047,0.1,4.01,3200.,1.2,2014-05-14,
HD 173416,Radial Velocity,323.6,1.16,0.21,2.7,134.95,2.,2014-07-09,7.41
Kepler-75,Transit,8.8849116,0.0818,0.57,10.1,1140.,0.91,2015-01-29,
HAT-P-5,Transit,2.788491,0.04075,0.,1.06,340.,1.16,2014-05-14,
TrES-1,Transit,3.030065,0.03925,,0.752,150.,0.88,2014-10-15,
WTS-2,Transit,1.0187068,0.01855,0.,1.12,1000.,0.82,2015-04-24,
Kepler-745,Transit,9.93143556,,,,1199.,1.04,2016-05-10,
HAT-P-9,Transit,3.92289,0.053,0.,0.78,480.,1.28,2014-05-14,
TrES-4,Transit,3.55392771,0.0516,0.016,0.494,492.,1.45,2016-05-05,
Kepler-1569,Transit,5.79180156,,,,1050.,1.25,2016-05-10,
Kepler-748,Transit,7.40742793,,,,1271.,1.07,2016-05-10,
Kepler-262,Transit,13.060855,0.108,,,,,2014-05-14,
Kepler-262,Transit,21.853722,0.152,,,,,2014-05-14,
Kepler-746,Transit,3.48159251,,,,450.,0.91,2016-05-10,
Kepler-264,Transit,140.101261,0.566,,,,1.32,2014-05-14,
Kepler-264,Transit,40.806231,0.249,,,,1.32,2014-05-14,
Kepler-1624,Transit,3.29030452,,,,199.,0.5,2016-05-10,
Kepler-1299,Transit,19.9400874,,,,1352.,0.94,2016-05-10,
Kepler-1271,Transit,3.0255955,,,,885.,1.13,2016-05-10,
Kepler-1224,Transit,13.32351601,,,,578.,1.18,2016-05-10,
TrES-3,Transit,1.30618581,0.02282,0.,1.91,228.,0.93,2014-05-14,
WASP-33,Transit,1.2198669,0.02555,,4.1,116.14,1.5,2014-05-14,8.61
Kepler-263,Transit,47.332773,0.242,,,,,2014-05-14,
Kepler-263,Transit,16.568087,0.12,,,,,2014-05-14,
Kepler-261,Transit,24.570858,0.156,,,,0.87,2014-05-14,
Kepler-261,Transit,10.381227,0.088,,,,0.87,2014-05-14,
Kepler-356,Transit,13.121632,0.115,,,,0.97,2014-05-14,
Kepler-356,Transit,4.612696,0.057,,,,0.97,2014-05-14,
Kepler-1064,Transit,16.54080322,,,,374.,0.85,2016-05-10,
Kepler-156,Transit,15.906801,0.117,,,,,2014-05-14,
Kepler-156,Transit,4.973456,0.054,,,,,2014-05-14,
Kepler-1354,Transit,76.613377,,,,1057.,1.16,2016-05-10,
Kepler-1172,Transit,26.0204423,,,,1292.,0.92,2016-05-10,
Kepler-479,Transit,12.49341307,,,,371.,0.86,2016-05-10,
Kepler-575,Transit,9.37891944,,,,852.,0.97,2016-05-10,
Kepler-1521,Transit,47.14840805,,,,227.,0.81,2016-05-10,
Kepler-754,Transit,14.5596237,,,,1192.,1.06,2016-05-10,
Kepler-19,Transit,9.2869944,,0.,0.064,2119.,0.94,2014-05-14,
Kepler-19,Transit Timing Variations,160.,,,6.,2119.,0.94,2014-05-14,
Kepler-1514,Transit,217.8317626,,,,379.,1.21,2016-05-10,
Kepler-1124,Transit,2.85234897,,,,177.,0.35,2016-05-10,
Kepler-753,Transit,5.74772501,,,,278.,0.68,2016-05-10,
Kepler-683,Transit,2.53918318,,,,976.,0.96,2016-05-10,
Kepler-752,Transit,18.82747265,,,,1075.,0.87,2016-05-10,
Kepler-98,Transit,1.54168,,,0.011,,0.99,2014-05-14,
Kepler-1034,Transit,12.12400943,,,,706.,0.83,2016-05-10,
Kepler-766,Transit,6.10027804,,,,1614.,1.1,2016-05-10,
Kepler-1419,Transit,42.5215895,,,,1444.,1.01,2016-05-10,
Kepler-260,Transit,76.050178,0.332,,,,0.88,2014-05-14,
Kepler-260,Transit,8.187399,0.075,,,,0.88,2014-05-14,
Kepler-767,Transit,161.5280101,,,,1185.,0.96,2016-05-10,
Kepler-268,Transit,25.934138,0.18,,,,,2014-05-14,
Kepler-268,Transit,83.446393,0.391,,,,,2014-05-14,
Kepler-773,Transit,3.74910006,,,,528.,1.04,2016-05-10,
Kepler-1601,Transit,2.20921951,,,,660.,1.04,2016-05-10,
Kepler-771,Transit,8.73485836,,,,1000.,1.03,2016-05-10,
Kepler-951,Transit,71.52530845,,,,408.,0.77,2016-05-10,
Kepler-1484,Transit,30.4549136,,,,1095.,0.94,2016-05-10,
Kepler-323,Transit,1.678327,0.028,,,,1.09,2014-05-14,
Kepler-323,Transit,3.553822,0.046,,,,1.09,2014-05-14,
Kepler-1063,Transit,14.07971466,,,,365.,1.09,2016-05-10,
Kepler-1194,Transit,16.22371307,,,,616.,0.94,2016-05-10,
Kepler-489,Transit,17.27629612,,,,379.,0.82,2016-05-10,
Kepler-774,Transit,11.0895723,,,,1190.,1.57,2016-05-10,
Kepler-772,Transit,12.99207337,,,,689.,0.98,2016-05-10,
Kepler-454,Radial Velocity,523.9,,0.0214,4.46,,1.03,2015-12-03,
Kepler-454,Transit,10.57375339,0.0954,0.,0.02152,,1.03,2015-12-03,
Kepler-1073,Transit,4.02582254,,,,837.,1.,2016-05-10,
Kepler-1073,Transit,8.67888593,,,,837.,1.,2016-05-10,
HAT-P-14,Transit,4.627669,0.0606,0.107,2.232,205.,1.39,2014-05-14,
Kepler-1024,Transit,66.4162133,,,,1017.,0.81,2016-05-10,
Kepler-1452,Transit,42.913751,,,,974.,1.41,2016-05-10,
Kepler-1094,Transit,78.1000231,,,,1371.,1.14,2016-05-10,
Kepler-684,Transit,6.77030201,,,,1066.,0.89,2016-05-10,
Kepler-1550,Transit,225.582809,,,,1202.,1.07,2016-05-10,
Kepler-1187,Transit,18.87064068,,,,1029.,1.06,2016-05-10,
Kepler-405,Transit,10.613839,0.095,,,,,2014-05-14,
Kepler-405,Transit,29.726682,0.188,,,,,2014-05-14,
Kepler-24,Transit,18.998355,0.138,,,1200.,1.03,2014-05-14,
Kepler-24,Transit,8.1453,0.08,,1.6,1200.,1.03,2014-05-14,
Kepler-24,Transit,12.3335,0.106,,1.6,1200.,1.03,2014-05-14,
Kepler-24,Transit,4.244384,0.051,,,1200.,1.03,2014-05-14,
Kepler-167,Transit,21.803855,0.1405,0.12,,330.,0.77,2016-03-10,
Kepler-167,Transit,7.406114,0.0684,0.,,330.,0.77,2016-03-10,
Kepler-167,Transit,4.3931632,0.0483,0.,,330.,0.77,2016-03-10,
Kepler-167,Transit,1071.23228,1.89,0.062,,330.,0.77,2016-03-10,
HD 149026,Radial Velocity,2.8758911,,,0.368,78.86,1.34,2014-10-15,12.68
Kepler-418,Transit,86.67856,,0.2,1.1,,0.98,2014-05-28,
Kepler-769,Transit,7.42608998,,,,1362.,1.19,2016-05-10,
Kepler-769,Transit,15.9870174,,,,1362.,1.19,2016-05-10,
Kepler-383,Transit,12.904532,0.095,,,,0.67,2014-05-14,
Kepler-383,Transit,31.200751,0.172,,,,0.67,2014-05-14,
Kepler-770,Transit,18.92540274,,,,761.,0.94,2016-05-10,
Kepler-770,Transit,4.15244722,,,,761.,0.94,2016-05-10,
Kepler-770,Transit,1.47532231,,,,761.,0.94,2016-05-10,
Kepler-149,Transit,29.198943,0.184,,,,,2014-05-14,
Kepler-149,Transit,160.018032,0.571,,,,,2014-05-14,
Kepler-149,Transit,55.328328,0.281,,,,,2014-05-14,
Kepler-768,Transit,11.3910025,,,,795.,0.82,2016-05-10,
Kepler-1592,Transit,3.05710069,,,,1349.,1.18,2016-05-10,
Kepler-9,Transit,19.24,0.14,0.15,0.252,650.,1.07,2014-05-14,
Kepler-9,Transit,38.91,0.225,0.13,0.171,650.,1.07,2014-05-14,
Kepler-9,Transit,1.592851,0.0273,,,650.,1.07,2014-05-14,
Kepler-967,Transit,198.7112502,,,,499.,0.84,2016-05-10,
Kepler-967,Transit,13.22713379,,,,499.,0.84,2016-05-10,
Kepler-376,Transit,14.172327,0.115,,,,1.05,2014-05-14,
Kepler-376,Transit,4.920199,0.057,,,,1.05,2014-05-14,
Kepler-685,Transit,1.6255222,,,,1145.,1.11,2016-05-10,
Kepler-1241,Transit,18.5525701,,,,936.,0.84,2016-05-10,
Kepler-541,Transit,5.08005848,,,,1020.,1.41,2016-05-10,
Kepler-274,Transit,33.197861,0.204,,,,,2014-05-14,
Kepler-274,Transit,11.634788,0.101,,,,,2014-05-14,
Kepler-234,Transit,2.711506,0.04,,,,,2014-05-14,
Kepler-234,Transit,7.21205,0.077,,,,,2014-05-14,
Kepler-975,Transit,1.97034246,,,,404.,0.8,2016-05-10,
Kepler-275,Transit,10.300682,0.098,,,,1.24,2014-05-14,
Kepler-275,Transit,35.676062,0.224,,,,1.24,2014-05-14,
Kepler-275,Transit,16.088134,0.132,,,,1.24,2014-05-14,
Kepler-1308,Transit,2.10433812,,,,73.,0.35,2016-05-10,
Kepler-788,Transit,8.39846269,,,,1649.,1.16,2016-05-10,
Kepler-795,Transit,29.6193421,,,,458.,0.94,2016-05-10,
Kepler-542,Transit,13.14497566,,,,439.,0.93,2016-05-10,
Kepler-1493,Transit,15.0217983,,,,572.,1.06,2016-05-10,
Kepler-787,Transit,0.9283105,,,,468.,0.65,2016-05-10,
Kepler-1171,Transit,1.44259224,,,,615.,1.58,2016-05-10,
KIC 3558849,Transit,1322.3,,,,,0.98,2016-01-05,
Kepler-1110,Transit,9.69312032,,,,726.,0.73,2016-05-10,
Kepler-415,Transit Timing Variations,8.708,,,,,0.67,2014-05-28,
Kepler-415,Transit Timing Variations,4.176,,,0.377,,0.67,2014-05-28,
Kepler-1487,Transit,7.31946363,,,,1094.,1.38,2016-05-10,
Kepler-467,Transit,24.99324193,,,,458.,1.05,2016-05-10,
Kepler-576,Transit,29.91136794,,,,698.,0.99,2016-05-10,
Kepler-371,Transit,34.763278,0.2,,,,0.94,2014-05-14,
