pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,st_dist,st_mass,rowupdate,st_plx
HD 196050,b,Radial Velocity,1378.00000000,2.540000,0.228000,2.90000,46.93,1.15,2014-08-21,21.31
HD 10180,c,Radial Velocity,5.75969000,0.064120,0.073000,0.04160,39.02,1.06,2015-06-25,
HD 10180,g,Radial Velocity,604.67000000,1.427000,0.263000,0.07320,39.02,1.06,2015-06-25,
HD 10180,h,Radial Velocity,2205.00000000,3.381000,0.095000,0.20660,39.02,1.06,2015-06-25,
HD 10180,f,Radial Velocity,122.74400000,0.492900,0.119000,0.07220,39.02,1.06,2015-06-25,
HD 10180,e,Radial Velocity,49.74800000,0.269900,0.051000,0.08050,39.02,1.06,2015-06-25,
HD 10180,d,Radial Velocity,16.35700000,0.128590,0.131000,0.03780,39.02,1.06,2015-06-25,
HR 2562,b,Imaging,,20.300000,,30.00000,33.63,1.30,2016-09-08,
HD 142415,b,Radial Velocity,386.30000000,1.050000,0.500000,1.62000,34.57,1.03,2014-05-14,28.93
HD 23127,b,Radial Velocity,1214.00000000,2.400000,0.440000,1.50000,89.13,1.13,2014-11-19,11.22
HD 40307,b,Radial Velocity,4.31230000,0.046800,0.200000,0.01260,12.83,0.77,2014-05-14,77.95
HD 40307,d,Radial Velocity,20.43200000,0.132100,0.070000,0.02990,12.83,0.77,2014-05-14,77.95
HD 40307,f,Radial Velocity,51.76000000,0.247000,0.020000,0.01640,12.83,0.77,2014-05-14,77.95
HD 40307,g,Radial Velocity,197.80000000,0.600000,0.290000,0.02230,12.83,0.77,2014-05-14,77.95
HD 40307,c,Radial Velocity,9.61840000,0.079900,0.060000,0.02080,12.83,0.77,2014-05-14,77.95
HATS-30,b,Transit,3.17435160,0.043540,0.096000,0.70600,339.00,1.09,2016-06-09,
HD 27894,d,Radial Velocity,5174.00000000,5.448000,0.389000,5.41500,42.37,0.80,2017-06-15,23.60
HD 27894,b,Radial Velocity,18.02000000,0.125000,0.047000,0.66500,42.37,0.80,2017-06-15,23.60
HD 27894,c,Radial Velocity,36.07000000,0.198000,0.015000,0.16200,42.37,0.80,2017-06-15,23.60
HD 27442,b,Radial Velocity,428.10000000,1.271000,0.060000,1.56000,18.24,1.23,2014-07-23,54.84
HD 102117,b,Radial Velocity,20.81330000,0.153200,0.121000,0.17200,42.00,1.11,2014-05-14,23.81
HIP 65891,b,Radial Velocity,1084.50000000,2.810000,0.130000,6.00000,136.05,2.50,2015-06-04,7.35
HD 221287,b,Radial Velocity,456.10000000,1.250000,0.080000,3.09000,52.88,1.25,2014-05-14,18.91
WASP-73,b,Transit,4.08722000,0.055120,0.000000,1.88000,,1.34,2014-05-14,
AB Pic,b,Imaging,,260.000000,,13.50000,45.52,,2014-05-14,21.97
HD 30177,c,Radial Velocity,11613.00000000,9.890000,0.220000,7.60000,54.71,0.99,2016-12-21,18.28
HD 30177,b,Radial Velocity,2524.40000000,3.580000,0.184000,8.08000,54.71,0.99,2016-12-21,18.28
HD 101930,b,Radial Velocity,70.46000000,0.302000,0.110000,0.30000,30.50,0.74,2014-05-14,32.79
HD 154857,c,Radial Velocity,3452.00000000,5.360000,0.060000,2.58000,68.54,1.72,2014-05-14,14.59
HD 154857,b,Radial Velocity,408.60000000,1.291000,0.460000,2.24000,68.54,1.72,2014-05-14,14.59
HD 2039,b,Radial Velocity,1120.00000000,2.230000,0.715000,6.11000,89.85,1.17,2014-08-21,11.13
HD 215497,c,Radial Velocity,567.94000000,1.282000,0.490000,0.33000,43.53,0.87,2014-11-19,22.97
HD 215497,b,Radial Velocity,3.93404000,0.047000,0.160000,0.02000,43.53,0.87,2014-11-19,22.97
HD 154672,b,Radial Velocity,163.96700000,0.590000,0.600000,4.73000,64.77,1.08,2016-11-10,15.44
HD 121504,b,Radial Velocity,63.33000000,0.330000,0.030000,1.22000,44.37,1.18,2014-05-14,22.54
HD 106906,b,Imaging,,650.000000,,11.00000,91.83,1.50,2014-05-14,10.89
WASP-46,b,Transit,1.43036763,0.023350,,1.91000,,0.83,2015-12-03,
WASP-97,b,Transit,2.07276000,0.033030,0.000000,1.32000,,1.12,2014-05-14,
HATS-33,b,Transit,2.54955510,0.037270,0.080000,1.19200,255.00,1.06,2016-12-01,
HATS-29,b,Transit,4.60587490,0.054750,0.158000,0.65300,351.00,1.03,2016-06-09,
HIP 8541,b,Radial Velocity,1560.20000000,2.800000,0.160000,5.50000,168.63,1.17,2016-03-17,5.93
HD 63765,b,Radial Velocity,358.00000000,0.940000,0.240000,0.64000,32.62,0.86,2014-05-14,30.66
HD 10647,b,Radial Velocity,989.20000000,2.015000,0.150000,0.94000,17.35,1.11,2014-05-14,57.63
GJ 163,b,Radial Velocity,8.63182000,0.060700,0.073000,0.03335,14.97,0.40,2017-01-26,66.82
GJ 163,c,Radial Velocity,25.63058000,0.125400,0.099000,0.02140,14.97,0.40,2017-01-26,66.82
GJ 163,d,Radial Velocity,603.95116000,1.030400,0.373000,0.09250,14.97,0.40,2017-01-26,66.82
HD 23079,b,Radial Velocity,730.60000000,1.596000,0.102000,2.45000,34.60,1.01,2014-07-23,28.90
HD 113538,b,Radial Velocity,663.20000000,1.240000,0.140000,0.36000,15.90,0.58,2015-01-08,63.03
HD 113538,c,Radial Velocity,1818.00000000,2.440000,0.200000,0.93000,15.90,0.58,2015-01-08,63.03
KELT-15,b,Transit,3.32944100,0.046130,0.000000,0.91000,291.00,1.18,2016-03-17,
HD 160691,b,Radial Velocity,643.25000000,1.497000,0.128000,1.08000,15.28,1.08,2014-08-21,65.46
HD 160691,e,Radial Velocity,310.55000000,0.921000,0.066600,0.52190,15.28,1.08,2014-08-21,65.46
HD 160691,d,Radial Velocity,9.63860000,0.090940,0.172000,0.03321,15.28,1.08,2014-08-21,65.46
HD 160691,c,Radial Velocity,4205.80000000,5.235000,0.098500,1.81400,15.28,1.08,2014-08-21,65.46
GJ 676 A,d,Radial Velocity,3.60050000,,0.262000,0.01400,16.90,0.71,2016-09-29,59.30
GJ 676 A,e,Radial Velocity,35.39000000,,0.125000,0.02500,16.90,0.71,2016-09-29,59.30
GJ 676 A,c,Radial Velocity,7337.00000000,6.600000,,6.80000,16.90,0.71,2016-09-29,59.30
GJ 676 A,b,Radial Velocity,1051.10000000,1.812000,0.323000,6.70000,16.90,0.71,2016-09-29,59.30
HIP 65426,b,Imaging,,92.000000,,9.00000,111.40,1.96,2017-07-13,8.98
bet Pic,b,Imaging,7665.00000000,9.100000,0.080000,,19.28,1.76,2015-08-13,51.87
GJ 86,b,Radial Velocity,15.76491000,0.113000,0.041600,3.91000,10.91,0.77,2014-05-14,91.63
HR 810,b,Radial Velocity,312.00000000,0.910000,0.150000,2.13000,17.24,1.03,2015-04-30,58.00
WASP-105,b,Transit,7.87288000,0.075000,0.000000,1.80000,,0.89,2017-08-17,
HD 28254,b,Radial Velocity,1116.00000000,2.150000,0.810000,1.16000,54.70,1.06,2014-11-19,18.29
HD 103197,b,Radial Velocity,47.84000000,0.249000,0.000000,0.09800,49.33,0.90,2014-05-14,20.27
WASP-117,b,Transit,10.02165000,0.094590,0.302000,0.27550,,1.13,2014-08-27,
HD 564,b,Radial Velocity,492.30000000,1.200000,0.096000,0.33000,53.60,0.96,2015-01-08,18.64
HATS-23,b,Transit,2.16051560,0.033970,0.114000,1.47000,747.00,1.12,2017-03-16,
WASP-99,b,Transit,5.75251000,0.071700,0.000000,2.78000,,1.48,2014-05-14,
HD 330075,b,Radial Velocity,3.38773000,0.039000,0.000000,0.62000,50.20,0.70,2014-11-19,19.92
HD 85390,b,Radial Velocity,788.00000000,1.520000,0.410000,0.13200,33.96,0.76,2014-05-14,29.45
HD 213240,b,Radial Velocity,951.00000000,2.030000,0.450000,4.50000,40.75,1.22,2015-04-30,24.54
DENIS-P J082303.1-491201,b,Astrometry,246.36000000,0.360000,0.345000,28.50000,20.77,0.07,2014-05-14,48.16
HATS-28,b,Transit,3.18107810,0.041310,0.202000,0.67200,521.00,0.93,2016-06-09,
HD 142,c,Radial Velocity,6005.00000000,6.800000,0.210000,5.30000,25.64,1.23,2014-08-21,39.00
HD 142,b,Radial Velocity,349.70000000,1.020000,0.170000,1.25000,25.64,1.23,2014-08-21,39.00
GJ 832,c,Radial Velocity,35.68000000,0.163000,0.180000,0.01700,4.94,0.45,2014-06-25,202.53
GJ 832,b,Radial Velocity,3657.00000000,3.560000,0.080000,0.68000,4.94,0.45,2014-06-25,202.53
RR Cae,b,Eclipse Timing Variations,4343.50000000,5.300000,0.000000,4.20000,,0.44,2015-08-27,
HD 216435,b,Radial Velocity,1311.00000000,2.560000,0.070000,1.26000,33.29,1.30,2014-07-23,30.04
HD 156411,b,Radial Velocity,842.20000000,1.880000,0.220000,0.74000,55.10,1.25,2014-06-25,18.15
HD 48265,b,Radial Velocity,780.30000000,1.810000,0.080000,1.47000,85.40,1.28,2016-11-10,11.71
WASP-88,b,Transit,4.95400000,0.064310,0.000000,0.56000,,1.45,2014-05-14,
HD 41004 B,b,Radial Velocity,1.32830000,,0.081000,18.37000,43.03,0.40,2014-12-03,23.24
HD 41004 A,b,Radial Velocity,963.00000000,,0.740000,2.54000,43.03,0.70,2014-12-03,23.24
WASP-95,b,Transit,2.18467300,0.034160,0.000000,1.13000,,1.11,2014-05-14,
HATS-17,b,Transit,16.25461100,0.130800,0.029000,1.33800,339.00,1.13,2016-09-15,
WASP-96,b,Transit,3.42526020,0.045300,0.000000,0.48000,,1.06,2014-05-14,
HD 117618,b,Radial Velocity,25.82700000,0.176000,0.420000,0.17800,38.02,1.08,2014-05-14,26.30
GJ 1132,b,Transit,1.62892870,0.015330,,0.00513,12.04,0.18,2017-07-27,83.07
KELT-10,b,Transit,4.16627390,0.052500,,0.67900,183.00,1.11,2016-04-28,
GJ 674,b,Radial Velocity,4.69380000,0.039000,0.200000,0.03500,4.54,0.35,2014-05-14,220.43
HATS-27,b,Transit,4.63703800,0.061100,0.581000,0.53000,840.00,1.42,2016-06-09,
HIP 70849,b,Radial Velocity,17337.50000000,20.250000,0.715000,9.00000,23.98,0.63,2014-05-14,41.71
HD 152079,b,Radial Velocity,2899.00000000,3.980000,0.520000,2.18000,83.33,1.10,2016-11-10,12.00
HD 148156,b,Radial Velocity,1027.00000000,2.450000,0.520000,0.85000,53.05,1.22,2014-05-14,18.85
WASP-132,b,Transit,7.13352100,0.067000,0.000000,0.41000,120.00,0.80,2016-12-01,
WASP-120,b,Transit,3.61127060,0.051400,0.057000,4.85000,437.00,1.39,2016-06-03,
WASP-18,b,Transit,0.94145299,0.020260,0.009200,10.43000,105.49,1.28,2014-05-14,9.48
WASP-19,b,Transit,0.78883899,0.016340,0.002000,1.06900,250.00,0.90,2016-08-18,
Kapteyn,c,Radial Velocity,121.54000000,0.311000,0.230000,0.02200,3.92,0.28,2014-06-04,255.26
HD 143361,b,Radial Velocity,1046.20000000,1.980000,0.193000,3.48000,65.66,0.95,2016-11-10,15.23
HD 85512,b,Radial Velocity,58.43000000,0.260000,0.110000,0.01100,11.15,0.69,2015-04-16,89.67
HD 153950,b,Radial Velocity,499.40000000,1.280000,0.340000,2.73000,51.87,1.12,2014-05-14,19.28
HD 83443,b,Radial Velocity,2.98569800,0.040600,0.012000,0.39800,43.53,0.90,2014-05-14,22.97
HD 159868,b,Radial Velocity,1178.40000000,2.250000,0.010000,2.10000,52.72,1.09,2014-05-14,18.97
HD 159868,c,Radial Velocity,352.30000000,1.000000,0.150000,0.73000,52.72,1.09,2014-05-14,18.97
HD 20794,c,Radial Velocity,40.11400000,0.203600,0.000000,0.00760,6.06,0.70,2015-08-27,165.02
HD 20794,e,Radial Velocity,147.02000000,0.509000,0.290000,0.01501,6.06,0.70,2017-06-08,165.02
HD 20794,b,Radial Velocity,18.31500000,0.120700,0.000000,0.00850,6.06,0.70,2015-08-27,165.02
HD 20794,d,Radial Velocity,90.30900000,0.349900,0.000000,0.01500,6.06,0.70,2015-08-27,165.02
Lupus-TR-3,b,Transit,3.91405000,0.046400,0.000000,0.81000,2000.00,0.87,2014-05-14,
WASP-23,b,Transit,2.94442560,0.037600,0.062000,0.88400,,0.78,2014-05-14,
HD 166724,b,Radial Velocity,5144.00000000,5.420000,0.734000,3.53000,42.99,0.81,2014-05-14,23.26
WASP-130,b,Transit,11.55098000,0.101200,0.000000,1.23000,180.00,1.04,2016-12-01,
KELT-14,b,Transit,1.71005660,0.030050,0.000000,1.28400,266.00,1.24,2016-06-03,
WASP-42,b,Transit,4.98168190,0.056100,,0.52700,160.00,0.95,2016-02-25,
WASP-129,b,Transit,5.74814500,0.062800,0.096000,1.00000,246.00,1.00,2016-05-05,
WASP-4,b,Transit,1.33823251,,0.000000,1.21600,300.00,0.89,2015-08-27,
HD 27631,b,Radial Velocity,2208.00000000,3.250000,0.120000,1.45000,44.54,0.94,2014-05-14,22.45
HD 75289,b,Radial Velocity,3.50926700,0.048200,0.034000,0.46700,28.94,1.21,2015-04-16,34.55
HIP 74890,b,Radial Velocity,822.30000000,2.100000,0.070000,2.40000,91.49,1.74,2016-03-17,10.93
HD 73526,c,Radial Velocity,379.10000000,1.030000,0.280000,2.25000,94.61,1.01,2014-05-14,10.57
HD 73526,b,Radial Velocity,188.90000000,0.650000,0.290000,2.25000,94.61,1.01,2014-05-14,10.57
WASP-139,b,Transit,5.92426200,0.062000,0.000000,0.11700,230.00,0.92,2016-12-01,
WASP-5,b,Transit,1.62842790,0.026700,0.038000,1.58000,300.00,0.96,2014-10-29,
HD 8535,b,Radial Velocity,1313.00000000,2.450000,0.150000,0.68000,52.50,1.13,2015-04-16,19.03
HD 109749,b,Radial Velocity,5.24000000,0.063500,0.010000,0.28000,59.03,1.20,2014-05-14,16.94
