pl_hostname,ra,dec
GJ 667 C,259.745085,-34.996827
GJ 667 C,259.745085,-34.996827
GJ 667 C,259.745085,-34.996827
GJ 667 C,259.745085,-34.996827
WASP-66,158.224966,-34.989845
MOA 2008-BLG-310L,268.560542,-34.778053
OGLE 2008-BLG-92L,266.872583,-34.726556
OGLE 2005-BLG-71L,267.540708,-34.673194
HD 16417,39.244198,-34.577976
HD 73267,129.074066,-34.459980
WASP-98,58.428794,-34.328194
WASP-94 A,313.783098,-34.135555
WASP-94 B,313.788158,-34.135521
MOA 2009-BLG-387L,268.461625,-33.990333
HD 50499,103.008438,-33.915562
HD 20868,50.177895,-33.730103
HD 93083,161.087143,-33.577023
HD 181720,290.720764,-32.919056
WASP-64,101.115041,-32.858402
GJ 433,173.862289,-32.539970
HD 47536,99.448410,-32.339733
OGLE 2007-BLG-368L,269.108167,-32.237417
WASP-15,208.927939,-32.159607
HD 114729,198.184402,-31.873348
HD 205739,324.535034,-31.737484
OGLE 2013-BLG-102L,268.029500,-31.690583
HD 45364,96.410316,-31.480953
HD 45364,96.410316,-31.480953
MOA 2010-BLG-477L,271.531006,-31.454477
GJ 3341,78.944663,-31.295951
MOA 2011-BLG-262L,270.097833,-31.245258
GJ 3634,164.646242,-31.143989
OGLE 2008-BLG-355L,269.786708,-30.759472
OGLE 2005-BLG-169L,271.522167,-30.732639
MOA 2010-BLG-328L,269.496333,-30.715175
WASP-41,190.618736,-30.639870
WASP-41,190.618736,-30.639870
WASP-79,66.370903,-30.600445
OGLE 2012-BLG-406L,268.325708,-30.471167
OGLE 2005-BLG-390L,268.579958,-30.377306
MOA 2008-BLG-379L,269.706000,-30.196931
WASP-72,41.039999,-30.169039
OGLE 2006-BLG-109L,268.143792,-30.087778
OGLE 2006-BLG-109L,268.143792,-30.087778
HD 73256,129.095901,-30.037626
HD 43197,93.398590,-29.897270
OGLE-TR-10,267.867708,-29.876361
OGLE 2013-BLG-341L B,268.031208,-29.846111
HD 169830,276.956177,-29.816866
HD 169830,276.956177,-29.816866
MOA-bin-1L,261.792500,-29.793972
HD 90156,155.980316,-29.645529
