pl_hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,st_dist,st_mass,rowupdate,st_plx
HD 160691,4205.8,5.235,0.0985,1.814,15.28,1.08,2014-08-21,65.46
GJ 676 A,3.6,0.0413,0.15,0.014,16.13,0.71,2014-05-14,61.98
GJ 676 A,1050.3,1.8,0.328,4.95,16.13,0.71,2014-05-14,61.98
GJ 676 A,35.37,0.187,0.24,0.036,16.13,0.71,2014-05-14,61.98
bet Pic,7665.,9.1,0.08,,19.28,1.76,2015-08-13,51.87
GJ 86,15.76491,0.113,0.0416,3.91,10.91,0.77,2014-05-14,91.63
HR 810,312.,0.91,0.15,2.13,17.24,,2015-04-30,58.
HD 28254,1116.,2.15,0.81,1.16,54.7,1.06,2014-11-19,18.29
HD 103197,47.84,0.249,0.,0.098,49.33,0.9,2014-05-14,20.27
WASP-117,10.02165,0.09459,0.302,0.2755,,1.13,2014-08-27,
HD 564,492.3,1.2,0.096,0.33,53.6,0.96,2015-01-08,18.64
WASP-99,5.75251,0.0717,0.,2.78,,1.48,2014-05-14,
HD 330075,3.38773,0.039,0.,0.62,50.2,0.7,2014-11-19,19.92
HD 85390,788.,1.52,0.41,0.132,33.96,0.76,2014-05-14,29.45
HD 213240,951.,2.03,0.45,4.5,40.75,,2015-04-30,24.54
DENIS-P J082303.1-491201,246.36,0.36,0.345,28.5,20.77,0.07,2014-05-14,48.16
HATS-28,3.1810781,0.04131,0.202,0.672,521.,0.93,2016-06-09,
HD 142,349.7,1.02,0.17,1.25,25.64,1.23,2014-08-21,39.
HD 142,6005.,6.8,0.21,5.3,25.64,1.23,2014-08-21,39.
GJ 832,35.68,0.163,0.18,0.017,4.94,0.45,2014-06-25,202.53
GJ 832,3657.,3.56,0.08,0.68,4.94,0.45,2014-06-25,202.53
RR Cae,4343.5,5.3,0.,4.2,,0.44,2015-08-27,
HD 216435,1311.,2.56,0.07,1.26,33.29,1.3,2014-07-23,30.04
HD 156411,842.2,1.88,0.22,0.74,55.1,1.25,2014-06-25,18.15
HD 48265,762.,1.6,0.24,1.2,87.41,1.22,2015-03-26,11.44
WASP-88,4.954,0.06431,0.,0.56,,1.45,2014-05-14,
HD 41004 B,1.3283,,0.081,18.37,43.03,0.4,2014-12-03,23.24
HD 41004 A,963.,,0.74,2.54,43.03,0.7,2014-12-03,23.24
WASP-95,2.184673,0.03416,0.,1.13,,1.11,2014-05-14,
HATS-17,16.254611,0.1308,0.029,1.338,339.,1.13,2016-03-24,
WASP-96,3.4252602,0.0453,0.,0.48,,1.06,2014-05-14,
HD 117618,25.827,0.176,0.42,0.178,38.02,1.08,2014-05-14,26.3
GJ 1132,1.62893,,0.,0.0051,12.04,0.18,2015-11-12,83.07
KELT-10,4.1662739,0.0525,,0.679,183.,1.11,2016-04-28,
GJ 674,4.6938,0.039,0.2,0.035,4.54,0.35,2014-05-14,220.43
HATS-27,4.637038,0.0611,0.581,0.53,840.,1.42,2016-06-09,
HIP 70849,17337.5,20.25,0.715,9.,23.98,,2014-05-14,41.71
HD 152079,2097.,3.2,0.6,3.,85.18,,2014-05-14,11.74
HD 148156,1027.,2.45,0.52,0.85,53.05,1.22,2014-05-14,18.85
WASP-120,3.6112706,0.0514,0.057,4.85,437.,1.39,2016-06-03,
WASP-18,0.94145299,0.02026,0.0092,10.43,105.49,1.28,2014-05-14,9.48
WASP-19,0.78884,0.01655,0.0046,1.168,250.,0.94,2014-05-14,
Kapteyn,121.54,0.311,0.23,0.022,3.92,0.28,2014-06-04,255.26
HD 143361,1057.,2.,0.15,3.12,59.35,0.95,2014-05-14,16.85
HD 85512,58.43,0.26,0.11,0.011,11.15,0.69,2015-04-16,89.67
HD 153950,499.4,1.28,0.34,2.73,51.87,1.12,2014-05-14,19.28
HD 83443,2.985698,0.0406,0.012,0.398,43.53,0.9,2014-05-14,22.97
HD 159868,352.3,1.,0.15,0.73,52.72,1.09,2014-05-14,18.97
HD 159868,1178.4,2.25,0.01,2.1,52.72,1.09,2014-05-14,18.97
HD 20794,18.315,0.1207,0.,0.0085,6.06,0.7,2015-08-27,165.02
HD 20794,90.309,0.3499,0.,0.015,6.06,0.7,2015-08-27,165.02
HD 20794,40.114,0.2036,0.,0.0076,6.06,0.7,2015-08-27,165.02
Lupus-TR-3,3.91405,0.0464,0.,0.81,2000.,0.87,2014-05-14,
WASP-23,2.9444256,0.0376,0.062,0.884,,0.78,2014-05-14,
HD 166724,5144.,5.42,0.734,3.53,42.99,0.81,2014-05-14,23.26
KELT-14,1.7100566,0.03005,0.,1.284,266.,1.24,2016-06-03,
WASP-42,4.9816819,0.0561,,0.527,160.,0.95,2016-02-25,
WASP-129,5.748145,0.0628,0.096,1.,246.,1.,2016-05-05,
WASP-4,1.33823251,,0.,1.216,300.,0.89,2015-08-27,
HD 27631,2208.,3.25,0.12,1.45,44.54,0.94,2014-05-14,22.45
HD 75289,3.509267,0.0482,0.034,0.467,28.94,1.21,2015-04-16,34.55
HIP 74890,822.3,2.1,0.07,2.4,91.49,1.74,2016-03-17,10.93
HD 73526,379.1,1.03,0.28,2.25,94.61,1.01,2014-05-14,10.57
HD 73526,188.9,0.65,0.29,2.25,94.61,1.01,2014-05-14,10.57
WASP-5,1.6284279,0.0267,0.038,1.58,300.,0.96,2014-10-29,
HD 8535,1313.,2.45,0.15,0.68,52.5,1.13,2015-04-16,19.03
HD 109749,5.24,0.0635,0.01,0.28,59.03,1.2,2014-05-14,16.94
HD 102365,122.1,0.46,0.34,0.05,9.24,0.85,2014-05-14,108.23
HD 125595,9.6737,0.0809,0.,0.041,27.45,,2014-05-14,36.43
HD 162020,8.428198,0.074,0.277,14.4,31.26,0.75,2014-05-14,31.99
WASP-29,3.922727,0.0457,0.03,0.244,70.,0.82,2014-05-14,
HD 70642,2068.,3.23,0.034,1.97,28.76,1.05,2015-03-26,34.77
2MASS J12073346-3932539,,46.,,4.,52.4,0.02,2014-05-14,
HD 6434,22.017,0.148,0.146,0.44,40.32,0.89,2015-11-19,24.8
2MASS J02192210-3925225,,156.,,13.9,39.4,0.11,2015-05-14,
WASP-7,4.954658,0.0618,0.,0.96,140.,1.28,2014-05-14,
HD 147513,528.4,1.32,0.26,1.21,12.87,1.11,2014-05-14,77.69
WASP-121,1.2749255,0.02544,0.,1.183,270.,1.35,2016-06-23,
WASP-63,4.37809,0.0574,0.22,0.38,330.,1.32,2014-05-14,
HD 4113,526.62,1.28,0.903,1.56,44.05,0.99,2014-12-03,22.7
HIP 105854,184.2,0.81,0.02,8.2,84.6,2.1,2014-06-11,11.82
HD 114613,3827.,5.16,0.25,0.48,20.48,1.36,2014-05-14,48.83
HD 187085,986.,2.05,0.47,0.75,44.98,1.22,2014-07-23,22.23
HD 208487,130.08,0.524,0.24,0.52,44.,1.13,2014-11-05,
WASP-45,3.126096,0.0405,,1.002,,0.9,2015-12-03,
WASP-133,2.176423,0.0345,0.17,1.16,547.,1.16,2016-05-05,
GQ Lup,,100.,,20.,139.,0.7,2014-05-14,
HD 117207,2597.,3.79,0.144,1.88,33.01,1.08,2014-05-14,30.29
HD 190647,1038.1,2.07,0.18,1.9,54.23,1.1,2014-05-14,18.44
HIP 67851,88.9,0.46,0.05,1.38,,1.63,2015-06-04,15.16
HIP 67851,2131.8,3.82,0.17,5.98,,1.63,2015-06-04,15.16
HD 114386,937.7,1.65,0.23,1.24,28.04,0.68,2014-05-14,35.66
WASP-8,8.158715,0.0801,0.31,2.244,87.,1.03,2014-05-14,
WASP-8,4323.,5.28,0.,9.45,87.,1.03,2014-05-14,
MOA 2009-BLG-266L,2774.,3.2,,0.033,3040.,0.56,2014-10-29,
GJ 667 C,62.24,0.213,0.02,0.008,6.8,0.33,2014-05-14,146.3
GJ 667 C,39.026,0.156,0.03,0.008,6.8,0.33,2014-05-14,146.3
GJ 667 C,28.14,0.125,0.02,0.012,6.8,0.33,2014-05-14,146.3
GJ 667 C,7.2004,0.0505,0.13,0.018,6.8,0.33,2014-05-14,146.3
GJ 667 C,256.2,0.549,0.08,0.014,6.8,0.33,2014-05-14,146.3
WASP-66,4.086052,0.0546,0.11,2.32,380.,1.3,2014-05-14,
MOA 2008-BLG-310L,,1.25,,0.23,6000.,0.67,2014-10-29,
OGLE 2008-BLG-92L,,18.,,0.18,8100.,0.71,2014-10-29,
OGLE 2005-BLG-71L,,3.6,,3.8,3200.,0.46,2014-10-29,
HD 16417,17.24,0.14,0.2,0.0696,25.54,1.2,2014-05-14,39.16
HD 73267,1260.,2.198,0.256,3.06,54.91,0.89,2015-03-26,18.21
WASP-98,2.96264,0.036,0.,0.83,,0.69,2014-05-14,
WASP-94 A,3.9501907,0.055,0.13,0.452,180.,1.45,2014-10-03,
WASP-94 B,2.00839,0.0335,0.,0.618,180.,1.24,2014-10-03,
MOA 2009-BLG-387L,1982.,1.82,,2.56,5690.,0.19,2015-06-04,
HD 50499,2482.7,3.86,0.23,1.71,47.26,1.24,2014-12-17,21.16
HD 20868,380.85,0.947,0.75,1.99,48.9,0.78,2014-11-05,20.42
HD 93083,143.58,0.477,0.14,0.37,28.9,0.7,2014-05-14,34.6
HD 181720,956.,1.78,0.26,0.37,55.93,0.92,2014-07-23,17.88
WASP-123,2.9776412,0.04263,0.,0.899,214.,1.17,2016-06-03,
WASP-64,1.5732918,0.02648,0.,1.271,350.,1.,2014-05-14,
GJ 433,7.3709,0.058,0.08,0.018,9.04,0.48,2014-05-14,110.65
HD 47536,712.13,1.93,0.2,7.32,121.36,0.91,2015-03-26,8.24
OGLE 2007-BLG-368L,,3.3,,0.06,5900.,0.64,2014-11-05,
WASP-15,3.7520656,0.0499,0.,0.542,,1.18,2014-05-14,
HD 114729,1114.,2.11,0.167,0.95,35.,1.,2014-05-14,28.57
HD 205739,279.8,0.896,0.27,1.37,90.33,1.22,2014-09-25,11.07
OGLE 2013-BLG-102L,,0.8,,12.569,3040.,0.1,2015-01-29,
HD 45364,342.85,0.8972,0.0974,0.6579,32.58,,2014-05-14,30.69
HD 45364,226.93,0.6813,0.1684,0.1872,32.58,,2014-05-14,30.69
MOA 2010-BLG-477L,,2.,,1.5,2300.,0.67,2014-10-29,
GJ 3341,14.207,0.089,0.31,0.0208,,0.47,2014-12-03,43.18
MOA 2011-BLG-262L,,0.84,,0.05663,7000.,0.12,2015-06-04,
GJ 3634,2.64561,0.0287,0.08,0.026,19.8,0.45,2014-08-21,50.55
OGLE 2008-BLG-355L,,1.7,,4.6,6800.,0.37,2014-06-11,
WASP-124,3.37265,0.0449,0.017,0.6,433.,1.07,2016-05-05,
OGLE 2005-BLG-169L,,3.5,,0.04436,4100.,0.69,2015-11-19,
MOA 2010-BLG-328L,,0.92,,0.02895,810.,0.11,2015-06-04,
WASP-41,3.052404,0.04,0.026,0.94,180.,0.93,2015-10-15,
WASP-41,421.,1.07,0.294,3.18,180.,0.93,2015-10-15,
WASP-79,3.6623866,0.0535,0.,0.9,240.,1.38,2014-05-14,
OGLE 2012-BLG-406L,,3.45,,2.73,4970.,0.44,2014-05-14,
OGLE 2005-BLG-390L,3285.,2.6,,0.017,6600.,0.22,2014-10-29,
MOA 2008-BLG-379L,,3.3,,4.1,3300.,0.56,2014-10-29,
WASP-72,2.2167421,0.03708,0.,1.5461,340.,1.39,2014-05-14,
OGLE 2006-BLG-109L,1788.5,2.3,,0.73,1510.,0.51,2014-11-05,
OGLE 2006-BLG-109L,4927.5,4.5,0.15,0.27,1510.,0.51,2014-11-05,
HD 73256,2.54858,0.037,0.029,1.87,36.52,1.05,2015-03-26,27.38
HATS-16,2.686502,0.03744,0.,3.27,774.,0.97,2016-06-23,
HD 43197,327.8,0.92,0.83,0.6,56.3,0.96,2014-12-03,17.76
OGLE-TR-10,3.101278,0.0434,,0.62,,1.14,2014-05-14,
OGLE 2013-BLG-341L B,,0.883,,0.0073,1161.,0.15,2014-07-09,
OGLE 2012-BLG-0724L,,1.6,,0.47,6700.,0.29,2016-04-28,
HD 169830,2102.,3.6,0.33,4.04,36.32,1.4,2014-06-25,27.53
HD 169830,225.62,0.81,0.31,2.88,36.32,1.4,2014-06-25,27.53
MOA-bin-1L,,8.3,,3.7,5100.,0.75,2014-05-14,
HD 90156,49.77,0.25,0.31,0.057,22.09,0.84,2014-05-14,45.26
Fomalhaut,555530.,160.,0.87,,7.69,2.,2015-11-19,130.08
OGLE-TR-056,1.2119189,0.02383,,1.39,,1.23,2014-05-14,
MOA 2013-BLG-605L,,0.94,,0.01007,,0.03,2016-05-19,
MOA 2007-BLG-400L,,0.72,,0.83,5800.,0.3,2014-10-29,
MOA 2011-BLG-028L,,4.14,,0.09439,7380.,0.75,2016-03-24,
SWEEPS-11,1.796,0.03,,9.7,8500.,1.1,2014-05-14,
SWEEPS-4,4.2,0.055,,3.8,8500.,1.24,2014-05-14,
OGLE 2015-BLG-0966L,,2.1,,0.06607,2500.,0.38,2016-03-17,
OGLE 2003-BLG-235L,,4.3,,2.6,5800.,0.63,2016-02-25,
HD 20782,597.065,1.397,0.956,1.43,35.5,1.02,2016-05-19,
HATS-26,3.3023881,0.04735,0.245,0.65,907.,1.3,2016-06-09,
HD 164604,606.4,1.3,0.24,2.7,37.98,,2014-05-14,26.33
MOA 2011-BLG-293L,,1.1,,4.8,7720.,0.86,2014-05-14,
HD 30669,1684.,2.69,0.18,0.47,57.1,0.92,2015-01-08,17.51
OGLE 2014-BLG-124L,,3.11,,0.51,4100.,0.71,2015-02-12,
HD 171238,1523.,2.54,0.4,2.6,44.05,0.94,2014-07-02,22.7
WASP-17,3.7354417,0.051,0.129,0.49,400.,1.2,2014-05-14,
OGLE 2012-BLG-0563L,,0.9,,0.39,1300.,0.34,2015-08-13,
HD 47186,1353.6,2.395,0.249,0.35061,37.84,0.99,2015-03-26,26.43
HD 47186,4.0845,0.05,0.038,0.07167,37.84,0.99,2015-03-26,26.43
WASP-25,3.764825,0.0473,0.,0.58,,1.,2014-05-14,
OGLE 2011-BLG-265L,,1.89,,0.88,4380.,0.21,2015-03-05,
MOA 2010-BLG-353L,,1.72,,0.27,6430.,0.18,2016-06-09,
MOA 2011-BLG-322L,,4.3,,11.6,7560.,0.39,2014-05-14,
MOA 2007-BLG-192L,,0.62,,0.01,1000.,0.06,2014-10-29,
OGLE 2012-BLG-26L,,3.82,,0.11,4080.,0.82,2014-05-14,
OGLE 2012-BLG-26L,,4.63,,0.68,4080.,0.82,2014-05-14,
OGLE 2011-BLG-251L,,2.72,,0.53,2570.,0.26,2014-05-14,
HD 145377,103.95,0.45,0.307,5.76,55.19,1.12,2014-05-14,18.12
HD 192310,74.72,0.32,0.13,0.0532,8.82,0.8,2015-07-02,113.33
HD 192310,525.8,1.18,0.32,0.076,8.82,0.8,2015-07-02,113.33
MOA 2009-BLG-319L,,2.4,,0.16,6100.,0.38,2014-10-29,
HD 33283,18.179,0.145,0.48,0.33,86.88,1.24,2014-11-19,11.51
HD 216770,118.45,0.46,0.37,0.65,37.89,0.9,2015-04-24,26.39
PSR B1620-26,,23.,,2.5,,1.35,2015-04-30,
MOA 2010-BLG-073L,,1.21,,11.,2800.,0.16,2014-05-14,
HD 4208,828.,1.65,0.052,0.804,32.7,0.87,2014-07-23,30.58
HATS-13,3.0440499,0.04057,0.181,0.543,476.,0.96,2015-08-13,
WASP-61,3.8559,0.0514,0.26,2.06,480.,1.22,2014-05-14,
HD 207832,161.97,0.57,0.13,0.56,55.31,0.94,2015-09-10,18.08
HD 207832,1155.7,2.112,0.27,0.73,55.31,0.94,2015-09-10,18.08
HATS-8,3.583893,0.04667,0.376,0.138,829.,1.06,2015-06-17,
UZ For,5840.,5.9,0.04,6.3,,0.7,2014-05-14,
UZ For,1916.25,2.8,0.05,7.7,,0.7,2014-05-14,
HATS-14,2.7667641,0.03815,0.142,1.071,513.,0.97,2015-08-13,
HD 77338,5.7361,0.0614,0.09,0.05,41.27,0.93,2014-05-14,24.23
ROXs 12,,210.,,16.,120.,0.87,2014-05-14,
HD 134987,258.19,0.81,0.233,1.59,22.2,1.1,2014-05-14,
HD 134987,5000.,5.8,0.12,0.82,22.2,1.1,2014-05-14,
GJ 3293,30.6,0.1434,0.07,0.081,,0.42,2014-12-03,55.
GJ 3293,123.75,0.364,0.33,0.081,,0.42,2014-12-03,55.
K2-24,20.8851,0.154,0.,0.06607,181.,1.12,2016-02-11,
K2-24,42.3633,0.247,0.,0.08495,181.,1.12,2016-02-11,
SR 12 AB,,,,13.,,,2014-05-14,
2MASS J01225093-2439505,,52.,,24.5,36.,0.4,2014-05-14,
ROXs 42 B,,157.,,9.,135.,1.,2014-05-14,
HATS-3,3.547851,0.0485,0.,1.071,453.,1.21,2014-05-14,
HD 30856,912.,1.8,0.117,1.8,121.07,1.35,2014-05-14,8.26
OGLE 2012-BLG-358L,,0.87,,1.85,1760.,0.02,2014-05-14,
HD 179949,3.092514,0.0443,0.022,0.916,27.05,1.21,2014-07-09,36.97
HD 4732,2732.,4.6,0.23,2.37,56.5,1.74,2014-05-14,17.7
HD 4732,360.2,1.19,0.13,2.37,56.5,1.74,2014-05-14,17.7
HD 86226,1695.,2.84,0.15,0.92,42.48,1.06,2014-05-14,23.54
Oph 11,7.3e6,243.,,14.,125.,0.02,2016-03-10,
HD 98219,436.9,1.23,0.112,1.8,150.38,1.3,2014-05-14,6.65
WASP-20,4.8996284,0.06,0.,0.311,210.,1.2,2015-03-05,
WASP-34,4.3176782,0.0524,0.038,0.59,120.,1.01,2014-05-14,
WASP-22,3.53273064,0.0489,,0.617,300.,1.25,2016-02-25,
HATS-25,4.2986432,0.05163,0.176,0.613,466.,0.99,2016-06-09,
HD 181342,562.1,1.65,0.1,2.9,110.62,1.89,2016-03-17,9.04
HD 180902,479.,1.39,0.09,1.6,114.55,1.52,2014-05-14,8.73
K2-31,1.25785,,0.,1.85665,,1.,2016-05-05,
WASP-101,3.585722,0.0506,0.,0.5,,1.34,2014-05-14,
GJ 317,692.,1.15,0.11,2.5,15.1,0.42,2014-08-27,65.3
HATS-1,3.446459,0.0444,0.12,1.855,303.,0.99,2014-05-14,
HD 98649,4951.,5.6,0.85,6.8,42.77,1.,2014-05-14,23.38
HIP 12961,57.435,0.25,0.166,0.35,23.8,,2015-05-14,42.01
WASP-6,3.36100208,0.0414,0.054,0.485,,0.84,2015-04-16,
HATS-2,1.354133,0.023,0.,1.345,360.,0.88,2014-05-14,
HATS-4,2.516729,0.0362,0.013,1.323,420.,1.,2014-07-02,
HIP 5158,9017.76,7.7,0.14,15.04,44.8,0.78,2015-09-10,22.32
HIP 5158,345.72,0.89,0.52,1.42,44.8,0.78,2014-05-14,22.32
HD 224693,26.73,0.192,0.05,0.71,94.07,1.33,2014-11-19,10.63
HD 60532,201.3,0.759,0.28,1.03,25.7,1.44,2014-05-14,38.91
HD 60532,604.,1.58,0.02,2.46,25.7,1.44,2014-05-14,38.91
HATS-10,3.312846,0.04491,0.501,0.526,496.,1.1,2015-05-21,
WASP-78,2.17517632,0.0362,0.,0.89,550.,1.17,2014-05-14,
HD 95872,4375.,5.2,0.06,4.6,7.56,0.95,2015-12-17,132.3
HIP 78530,,740.,,23.,156.7,2.5,2015-04-01,
HD 204313,34.905,0.2099,0.155,0.0553,47.3,1.02,2015-11-19,21.14
HD 204313,2024.1,3.167,0.0946,4.28,47.3,1.02,2015-11-19,21.14
HATS-5,4.763387,0.0542,0.019,0.237,257.,0.94,2014-05-14,
1RXS J160929.1-210524,,330.,,8.,145.,0.85,2015-04-01,
HD 204941,1733.,2.56,0.37,0.266,26.95,0.74,2014-05-14,37.1
HD 18742,772.,1.92,0.12,2.7,127.88,1.6,2014-05-14,7.82
HD 202206,255.87,0.83,0.435,17.4,46.34,1.15,2015-08-27,21.58
HD 202206,1383.4,2.55,0.267,2.44,46.34,1.15,2015-08-27,21.58
GSC 06214-00210,,320.,,16.,145.,0.9,2015-04-01,
HD 155233,818.8,2.,0.04,2.6,75.13,1.69,2016-03-17,13.31
